Movie Title,Release Year,MCU Phase,Format
Iron Man,2008,Phase 1,Text File
The Incredible Hulk,2008,Phase 1,PDF
Iron Man 2,2010,Phase 1,Text File
Captain America: The First Avenger,2011,Phase 1,Text File
Thor,2011,Phase 1,Text File
The Avengers,2012,Phase 1,Text File
Iron Man 3,2013,Phase 2,Text File
Thor: The Dark World,2013,Phase 2,Text File
Captain America: The Winter Soldier,2014,Phase 2,Text File
Guardians of the Galaxy,2014,Phase 2,PDF
Ant-Man,2015,Phase 2,Text File
Avengers: Age of Ultron,2015,Phase 3,Text File
Captain America: Civil War,2016,Phase 3,Text File
Doctor Strange,2016,Phase 3,PDF
Spider-Man: Homecoming,2017,Phase 3,Text File
Thor: Ragnarok,2017,Phase 3,Text File
Guardians of the Galaxy Vol. 2,2017,Phase 3,PDF
Avengers: Infinity War,2018,Phase 3,Text File
Ant-Man and the Wasp,2018,Phase 3,PDF
Black Panther,2018,Phase 3,PDF
Avengers: Endgame,2019,Phase 3,Text File
Captain Marvel,2019,Phase 3,Text File
Spider-Man: Far From Home,2019,Phase 3,PDF
